keyword,total_buckets,capped_buckets,cap_fraction
pastatime,22,22,1.0
coconut,26,26,1.0
pasta sauce,34,34,1.0
breakfast,60,59,0.9833333333333333
villagefood,38,37,0.9736842105263158
pasta,36,35,0.9722222222222222
curry egg,35,34,0.9714285714285714
breakfast healthy,32,31,0.96875
cake,32,31,0.96875
chicken fry,30,29,0.9666666666666667
tasty,29,28,0.9655172413793104
fries,25,24,0.96
banana,24,23,0.9583333333333334
fried rice,43,41,0.9534883720930233
chicken style,39,37,0.9487179487179487
sandwich,39,37,0.9487179487179487
curry,56,53,0.9464285714285714
bengalifood,31,29,0.9354838709677419
chicken juicy,30,28,0.9333333333333333
biryani chicken,44,41,0.9318181818181818
fish fry,29,27,0.9310344827586207
crispy potato,28,26,0.9285714285714286
viralshorts,28,26,0.9285714285714286
bread,40,37,0.925
beef,25,23,0.92
chicken curry,49,45,0.9183673469387755
rice,68,62,0.9117647058823529
curry fish,44,40,0.9090909090909091
subscribe,32,29,0.90625
mango,32,29,0.90625
soup,31,28,0.9032258064516129
chicken crispy,41,37,0.9024390243902439
2026,29,26,0.896551724137931
burger,37,33,0.8918918918918919
snacks,27,24,0.8888888888888888
chickenrecipe,48,42,0.875
cookingshorts,39,34,0.8717948717948718
potato,31,27,0.8709677419354839
noodles,53,46,0.8679245283018868
pizza,59,51,0.864406779661017
chicken,92,79,0.8586956521739131
dessert,28,24,0.8571428571428571
chicken fried,26,22,0.8461538461538461
rotimakingmachine,40,33,0.825
makers roti,40,33,0.825
maker roti,40,33,0.825
gadgets rotimaker,40,33,0.825
best roti,40,33,0.825
cream ice,28,23,0.8214285714285714
salad,25,20,0.8
