keyword,query_used,trending_25,trending_50,insufficient_data
2026,,,,1
banana,,,,
beef,,,,
bengalifood,bengali food,,,
best roti,,,,
biryani chicken,chicken biryani,,,
bread,,,,
breakfast,,,,
breakfast healthy,healthy breakfast,,,
burger,,,,
cake,,,,
chicken,,,,
chicken crispy,crispy chicken,,,
chicken curry,,,,
chicken fried,fried chicken,,,
chicken fry,,,,
chicken juicy,juicy chicken,,,
chicken style,,,,
chickenrecipe,,,,1
coconut,,,,
cookingshorts,,,,1
cream ice,ice cream,,,
crispy potato,,,,
curry,,,,
curry egg,egg curry,,,
curry fish,fish curry,,,
dessert,,,,
fish fry,,,,
fried rice,,,,
fries,,,,
gadgets rotimaker,,,,1
maker roti,roti maker,,,
makers roti,roti makers,,,
mango,,,,
noodles,,,,
pasta,,,,
pasta sauce,,,,
pastatime,,,,1
pizza,,,,
potato,,,,
rice,,,,
rotimakingmachine,roti making machine,,,
salad,,,,
sandwich,,,,
snacks,,,,
soup,,,,
subscribe,,,,1
tasty,,,,1
villagefood,village food,,,
viralshorts,,,,1
