"Time","banana"
"2026-07-25",80
"2026-07-26",87
"2026-07-27",75
"2026-07-28",90
"2026-07-29",88
"2026-07-30",88
"2026-07-31",94
"2026-08-01",85
"2026-08-02",93
"2026-08-03",85
"2026-08-04",82
"2026-08-05",88
"2026-08-06",94
"2026-08-07",96
"2026-08-08",94
"2026-08-09",85
"2026-08-10",89
"2026-08-11",86
"2026-08-12",94
"2026-08-13",94
"2026-08-14",92
"2026-08-15",87
"2026-08-16",88
"2026-08-17",85
"2026-08-18",85
"2026-08-19",87
"2026-08-20",87
"2026-08-21",87
"2026-08-22",94
"2026-08-23",99
"2026-08-24",93
"2026-08-25",91
"2026-08-26",100
"2026-08-27",87
