"Time","best roti"
"2026-07-25",51
"2026-07-26",53
"2026-07-27",48
"2026-07-28",42
"2026-07-29",43
"2026-07-30",38
"2026-07-31",31
"2026-08-01",37
"2026-08-02",55
"2026-08-03",65
"2026-08-04",59
"2026-08-05",71
"2026-08-06",99
"2026-08-07",83
"2026-08-08",77
"2026-08-09",72
"2026-08-10",80
"2026-08-11",74
"2026-08-12",83
"2026-08-13",100
"2026-08-14",91
"2026-08-15",87
"2026-08-16",99
"2026-08-17",91
"2026-08-18",81
"2026-08-19",46
"2026-08-20",63
"2026-08-21",63
"2026-08-22",67
"2026-08-23",68
"2026-08-24",63
"2026-08-25",69
"2026-08-26",46
"2026-08-27",43
