"Time","chicken biryani"
"2026-07-26",93
"2026-07-27",41
"2026-07-28",48
"2026-07-29",48
"2026-07-30",53
"2026-07-31",53
"2026-08-01",54
"2026-08-02",83
"2026-08-03",44
"2026-08-04",51
"2026-08-05",55
"2026-08-06",49
"2026-08-07",58
"2026-08-08",58
"2026-08-09",100
"2026-08-10",46
"2026-08-11",56
"2026-08-12",51
"2026-08-13",50
"2026-08-14",54
"2026-08-15",59
"2026-08-16",83
"2026-08-17",44
"2026-08-18",50
"2026-08-19",53
"2026-08-20",49
"2026-08-21",52
"2026-08-22",57
"2026-08-23",85
"2026-08-24",47
"2026-08-25",58
"2026-08-26",90
"2026-08-27",54
