"Time","bread"
"2026-07-25",87
"2026-07-26",95
"2026-07-27",84
"2026-07-28",89
"2026-07-29",85
"2026-07-30",90
"2026-07-31",91
"2026-08-01",93
"2026-08-02",95
"2026-08-03",85
"2026-08-04",94
"2026-08-05",92
"2026-08-06",93
"2026-08-07",93
"2026-08-08",97
"2026-08-09",94
"2026-08-10",86
"2026-08-11",85
"2026-08-12",85
"2026-08-13",89
"2026-08-14",84
"2026-08-15",91
"2026-08-16",100
"2026-08-17",87
"2026-08-18",90
"2026-08-19",88
"2026-08-20",86
"2026-08-21",81
"2026-08-22",92
"2026-08-23",95
"2026-08-24",82
"2026-08-25",85
"2026-08-26",91
"2026-08-27",88
