"Time","breakfast"
"2026-07-26",99
"2026-07-27",96
"2026-07-28",100
"2026-07-29",100
"2026-07-30",95
"2026-07-31",97
"2026-08-01",97
"2026-08-02",100
"2026-08-03",93
"2026-08-04",94
"2026-08-05",94
"2026-08-06",100
"2026-08-07",93
"2026-08-08",96
"2026-08-09",96
"2026-08-10",89
"2026-08-11",97
"2026-08-12",86
"2026-08-13",98
"2026-08-14",91
"2026-08-15",91
"2026-08-16",92
"2026-08-17",90
"2026-08-18",95
"2026-08-19",97
"2026-08-20",90
"2026-08-21",88
"2026-08-22",91
"2026-08-23",95
"2026-08-24",89
"2026-08-25",87
"2026-08-26",92
"2026-08-27",82
