"Time","burger"
"2026-07-26",85
"2026-07-27",80
"2026-07-28",87
"2026-07-29",88
"2026-07-30",90
"2026-07-31",100
"2026-08-01",93
"2026-08-02",100
"2026-08-03",88
"2026-08-04",89
"2026-08-05",87
"2026-08-06",93
"2026-08-07",88
"2026-08-08",91
"2026-08-09",89
"2026-08-10",86
"2026-08-11",86
"2026-08-12",84
"2026-08-13",89
"2026-08-14",82
"2026-08-15",84
"2026-08-16",85
"2026-08-17",85
"2026-08-18",82
"2026-08-19",86
"2026-08-20",84
"2026-08-21",85
"2026-08-22",87
"2026-08-23",83
"2026-08-24",84
"2026-08-25",81
"2026-08-26",84
"2026-08-27",73
