"Time","cake"
"2026-07-26",91
"2026-07-27",84
"2026-07-28",91
"2026-07-29",87
"2026-07-30",89
"2026-07-31",99
"2026-08-01",97
"2026-08-02",100
"2026-08-03",90
"2026-08-04",91
"2026-08-05",89
"2026-08-06",90
"2026-08-07",94
"2026-08-08",96
"2026-08-09",97
"2026-08-10",89
"2026-08-11",90
"2026-08-12",88
"2026-08-13",93
"2026-08-14",93
"2026-08-15",95
"2026-08-16",95
"2026-08-17",88
"2026-08-18",88
"2026-08-19",90
"2026-08-20",87
"2026-08-21",87
"2026-08-22",91
"2026-08-23",93
"2026-08-24",87
"2026-08-25",88
"2026-08-26",93
"2026-08-27",87
