"Time","crispy chicken"
"2026-07-26",97
"2026-07-27",79
"2026-07-28",81
"2026-07-29",81
"2026-07-30",81
"2026-07-31",82
"2026-08-01",84
"2026-08-02",89
"2026-08-03",77
"2026-08-04",85
"2026-08-05",87
"2026-08-06",92
"2026-08-07",91
"2026-08-08",100
"2026-08-09",100
"2026-08-10",74
"2026-08-11",86
"2026-08-12",88
"2026-08-13",78
"2026-08-14",72
"2026-08-15",81
"2026-08-16",90
"2026-08-17",78
"2026-08-18",83
"2026-08-19",86
"2026-08-20",77
"2026-08-21",76
"2026-08-22",84
"2026-08-23",91
"2026-08-24",81
"2026-08-25",73
"2026-08-26",88
"2026-08-27",81
