"Time","chicken curry"
"2026-07-26",100
"2026-07-27",46
"2026-07-28",53
"2026-07-29",53
"2026-07-30",54
"2026-07-31",54
"2026-08-01",55
"2026-08-02",91
"2026-08-03",48
"2026-08-04",54
"2026-08-05",59
"2026-08-06",51
"2026-08-07",57
"2026-08-08",58
"2026-08-09",94
"2026-08-10",47
"2026-08-11",55
"2026-08-12",61
"2026-08-13",54
"2026-08-14",51
"2026-08-15",58
"2026-08-16",93
"2026-08-17",47
"2026-08-18",52
"2026-08-19",59
"2026-08-20",49
"2026-08-21",46
"2026-08-22",56
"2026-08-23",98
"2026-08-24",50
"2026-08-25",55
"2026-08-26",69
"2026-08-27",57
