"Time","fried chicken"
"2026-07-26",99
"2026-07-27",75
"2026-07-28",79
"2026-07-29",84
"2026-07-30",83
"2026-07-31",89
"2026-08-01",86
"2026-08-02",95
"2026-08-03",80
"2026-08-04",86
"2026-08-05",88
"2026-08-06",84
"2026-08-07",90
"2026-08-08",90
"2026-08-09",100
"2026-08-10",81
"2026-08-11",87
"2026-08-12",88
"2026-08-13",87
"2026-08-14",86
"2026-08-15",87
"2026-08-16",98
"2026-08-17",81
"2026-08-18",88
"2026-08-19",90
"2026-08-20",85
"2026-08-21",83
"2026-08-22",85
"2026-08-23",97
"2026-08-24",87
"2026-08-25",91
"2026-08-26",96
"2026-08-27",81
