"Time","chicken fry"
"2026-07-26",100
"2026-07-27",41
"2026-07-28",53
"2026-07-29",49
"2026-07-30",55
"2026-07-31",58
"2026-08-01",53
"2026-08-02",86
"2026-08-03",49
"2026-08-04",58
"2026-08-05",60
"2026-08-06",51
"2026-08-07",60
"2026-08-08",57
"2026-08-09",94
"2026-08-10",46
"2026-08-11",60
"2026-08-12",55
"2026-08-13",53
"2026-08-14",52
"2026-08-15",55
"2026-08-16",85
"2026-08-17",48
"2026-08-18",53
"2026-08-19",59
"2026-08-20",49
"2026-08-21",47
"2026-08-22",53
"2026-08-23",93
"2026-08-24",50
"2026-08-25",56
"2026-08-26",72
"2026-08-27",56
