"Time","juicy chicken"
"2026-07-26",92
"2026-07-27",68
"2026-07-28",74
"2026-07-29",71
"2026-07-30",68
"2026-07-31",53
"2026-08-01",85
"2026-08-02",94
"2026-08-03",66
"2026-08-04",96
"2026-08-05",83
"2026-08-06",71
"2026-08-07",73
"2026-08-08",72
"2026-08-09",93
"2026-08-10",75
"2026-08-11",100
"2026-08-12",78
"2026-08-13",76
"2026-08-14",73
"2026-08-15",77
"2026-08-16",93
"2026-08-17",79
"2026-08-18",93
"2026-08-19",84
"2026-08-20",73
"2026-08-21",75
"2026-08-22",86
"2026-08-23",97
"2026-08-24",76
"2026-08-25",83
"2026-08-26",86
"2026-08-27",62
