"Time","chicken style"
"2026-07-26",100
"2026-07-27",56
"2026-07-28",67
"2026-07-29",61
"2026-07-30",60
"2026-07-31",63
"2026-08-01",61
"2026-08-02",80
"2026-08-03",59
"2026-08-04",61
"2026-08-05",67
"2026-08-06",57
"2026-08-07",62
"2026-08-08",65
"2026-08-09",85
"2026-08-10",51
"2026-08-11",61
"2026-08-12",64
"2026-08-13",63
"2026-08-14",63
"2026-08-15",63
"2026-08-16",83
"2026-08-17",56
"2026-08-18",61
"2026-08-19",63
"2026-08-20",60
"2026-08-21",57
"2026-08-22",65
"2026-08-23",86
"2026-08-24",58
"2026-08-25",62
"2026-08-26",76
"2026-08-27",61
