"Time","chicken"
"2026-07-26",100
"2026-07-27",70
"2026-07-28",74
"2026-07-29",78
"2026-07-30",77
"2026-07-31",80
"2026-08-01",80
"2026-08-02",98
"2026-08-03",74
"2026-08-04",78
"2026-08-05",83
"2026-08-06",78
"2026-08-07",82
"2026-08-08",80
"2026-08-09",97
"2026-08-10",74
"2026-08-11",80
"2026-08-12",77
"2026-08-13",74
"2026-08-14",80
"2026-08-15",86
"2026-08-16",90
"2026-08-17",72
"2026-08-18",77
"2026-08-19",85
"2026-08-20",76
"2026-08-21",73
"2026-08-22",78
"2026-08-23",95
"2026-08-24",74
"2026-08-25",78
"2026-08-26",90
"2026-08-27",73
