"Time","coconut"
"2026-07-26",95
"2026-07-27",87
"2026-07-28",94
"2026-07-29",86
"2026-07-30",92
"2026-07-31",87
"2026-08-01",94
"2026-08-02",92
"2026-08-03",85
"2026-08-04",90
"2026-08-05",83
"2026-08-06",81
"2026-08-07",85
"2026-08-08",90
"2026-08-09",93
"2026-08-10",80
"2026-08-11",78
"2026-08-12",83
"2026-08-13",91
"2026-08-14",88
"2026-08-15",90
"2026-08-16",96
"2026-08-17",87
"2026-08-18",95
"2026-08-19",95
"2026-08-20",94
"2026-08-21",95
"2026-08-22",96
"2026-08-23",92
"2026-08-24",94
"2026-08-25",94
"2026-08-26",100
"2026-08-27",98
