"Time","ice cream"
"2026-07-26",94
"2026-07-27",82
"2026-07-28",89
"2026-07-29",84
"2026-07-30",87
"2026-07-31",93
"2026-08-01",92
"2026-08-02",96
"2026-08-03",88
"2026-08-04",95
"2026-08-05",88
"2026-08-06",90
"2026-08-07",92
"2026-08-08",96
"2026-08-09",100
"2026-08-10",89
"2026-08-11",87
"2026-08-12",86
"2026-08-13",83
"2026-08-14",82
"2026-08-15",85
"2026-08-16",89
"2026-08-17",77
"2026-08-18",83
"2026-08-19",83
"2026-08-20",80
"2026-08-21",79
"2026-08-22",85
"2026-08-23",89
"2026-08-24",80
"2026-08-25",67
"2026-08-26",89
"2026-08-27",81
