"Time","crispy potato"
"2026-07-26",95
"2026-07-27",92
"2026-07-28",72
"2026-07-29",83
"2026-07-30",72
"2026-07-31",81
"2026-08-01",89
"2026-08-02",94
"2026-08-03",80
"2026-08-04",77
"2026-08-05",83
"2026-08-06",95
"2026-08-07",86
"2026-08-08",100
"2026-08-09",78
"2026-08-10",81
"2026-08-11",77
"2026-08-12",68
"2026-08-13",75
"2026-08-14",78
"2026-08-15",93
"2026-08-16",86
"2026-08-17",81
"2026-08-18",79
"2026-08-19",81
"2026-08-20",78
"2026-08-21",75
"2026-08-22",82
"2026-08-23",92
"2026-08-24",79
"2026-08-25",76
"2026-08-26",84
"2026-08-27",72
