"Time","egg curry"
"2026-07-26",100
"2026-07-27",60
"2026-07-28",88
"2026-07-29",79
"2026-07-30",82
"2026-07-31",79
"2026-08-01",60
"2026-08-02",85
"2026-08-03",56
"2026-08-04",78
"2026-08-05",87
"2026-08-06",72
"2026-08-07",71
"2026-08-08",64
"2026-08-09",82
"2026-08-10",61
"2026-08-11",77
"2026-08-12",71
"2026-08-13",65
"2026-08-14",58
"2026-08-15",58
"2026-08-16",70
"2026-08-17",51
"2026-08-18",69
"2026-08-19",77
"2026-08-20",56
"2026-08-21",48
"2026-08-22",53
"2026-08-23",75
"2026-08-24",60
"2026-08-25",68
"2026-08-26",87
"2026-08-27",54
