"Time","fish curry"
"2026-07-26",66
"2026-07-27",33
"2026-07-28",40
"2026-07-29",36
"2026-07-30",34
"2026-07-31",35
"2026-08-01",34
"2026-08-02",57
"2026-08-03",30
"2026-08-04",55
"2026-08-05",84
"2026-08-06",74
"2026-08-07",78
"2026-08-08",79
"2026-08-09",89
"2026-08-10",69
"2026-08-11",82
"2026-08-12",84
"2026-08-13",80
"2026-08-14",79
"2026-08-15",75
"2026-08-16",100
"2026-08-17",75
"2026-08-18",76
"2026-08-19",40
"2026-08-20",51
"2026-08-21",51
"2026-08-22",57
"2026-08-23",75
"2026-08-24",54
"2026-08-25",54
"2026-08-26",40
"2026-08-27",39
