"Time","curry"
"2026-07-26",70
"2026-07-27",56
"2026-07-28",63
"2026-07-29",59
"2026-07-30",60
"2026-07-31",57
"2026-08-01",57
"2026-08-02",68
"2026-08-03",54
"2026-08-04",62
"2026-08-05",67
"2026-08-06",62
"2026-08-07",61
"2026-08-08",65
"2026-08-09",71
"2026-08-10",61
"2026-08-11",69
"2026-08-12",67
"2026-08-13",61
"2026-08-14",59
"2026-08-15",64
"2026-08-16",74
"2026-08-17",61
"2026-08-18",68
"2026-08-19",62
"2026-08-20",57
"2026-08-21",56
"2026-08-22",60
"2026-08-23",71
"2026-08-24",63
"2026-08-25",75
"2026-08-26",100
"2026-08-27",100
