"Time","fish fry"
"2026-07-26",100
"2026-07-27",39
"2026-07-28",52
"2026-07-29",47
"2026-07-30",50
"2026-07-31",49
"2026-08-01",47
"2026-08-02",83
"2026-08-03",40
"2026-08-04",52
"2026-08-05",52
"2026-08-06",40
"2026-08-07",49
"2026-08-08",52
"2026-08-09",87
"2026-08-10",37
"2026-08-11",49
"2026-08-12",45
"2026-08-13",40
"2026-08-14",38
"2026-08-15",46
"2026-08-16",74
"2026-08-17",37
"2026-08-18",45
"2026-08-19",49
"2026-08-20",37
"2026-08-21",38
"2026-08-22",46
"2026-08-23",72
"2026-08-24",39
"2026-08-25",43
"2026-08-26",57
"2026-08-27",40
