"Time","fried rice"
"2026-07-26",95
"2026-07-27",78
"2026-07-28",87
"2026-07-29",88
"2026-07-30",89
"2026-07-31",86
"2026-08-01",80
"2026-08-02",91
"2026-08-03",85
"2026-08-04",89
"2026-08-05",88
"2026-08-06",86
"2026-08-07",81
"2026-08-08",86
"2026-08-09",87
"2026-08-10",83
"2026-08-11",88
"2026-08-12",89
"2026-08-13",92
"2026-08-14",82
"2026-08-15",88
"2026-08-16",100
"2026-08-17",83
"2026-08-18",94
"2026-08-19",98
"2026-08-20",90
"2026-08-21",78
"2026-08-22",85
"2026-08-23",98
"2026-08-24",87
"2026-08-25",91
"2026-08-26",99
"2026-08-27",86
