"Time","fries"
"2026-07-26",85
"2026-07-27",81
"2026-07-28",94
"2026-07-29",85
"2026-07-30",93
"2026-07-31",91
"2026-08-01",95
"2026-08-02",95
"2026-08-03",89
"2026-08-04",98
"2026-08-05",90
"2026-08-06",92
"2026-08-07",90
"2026-08-08",100
"2026-08-09",93
"2026-08-10",87
"2026-08-11",84
"2026-08-12",78
"2026-08-13",90
"2026-08-14",77
"2026-08-15",94
"2026-08-16",96
"2026-08-17",84
"2026-08-18",89
"2026-08-19",84
"2026-08-20",83
"2026-08-21",85
"2026-08-22",93
"2026-08-23",94
"2026-08-24",84
"2026-08-25",82
"2026-08-26",85
"2026-08-27",80
