"Time","roti maker"
"2026-07-26",84
"2026-07-27",90
"2026-07-28",83
"2026-07-29",86
"2026-07-30",92
"2026-07-31",93
"2026-08-01",82
"2026-08-02",80
"2026-08-03",94
"2026-08-04",90
"2026-08-05",87
"2026-08-06",91
"2026-08-07",100
"2026-08-08",89
"2026-08-09",86
"2026-08-10",90
"2026-08-11",83
"2026-08-12",85
"2026-08-13",81
"2026-08-14",71
"2026-08-15",76
"2026-08-16",79
"2026-08-17",81
"2026-08-18",84
"2026-08-19",81
"2026-08-20",76
"2026-08-21",77
"2026-08-22",84
"2026-08-23",84
"2026-08-24",84
"2026-08-25",84
"2026-08-26",87
"2026-08-27",75
