"Time","mango"
"2026-07-26",95
"2026-07-27",100
"2026-07-28",100
"2026-07-29",97
"2026-07-30",97
"2026-07-31",98
"2026-08-01",91
"2026-08-02",100
"2026-08-03",99
"2026-08-04",92
"2026-08-05",86
"2026-08-06",91
"2026-08-07",87
"2026-08-08",92
"2026-08-09",90
"2026-08-10",88
"2026-08-11",89
"2026-08-12",79
"2026-08-13",89
"2026-08-14",91
"2026-08-15",93
"2026-08-16",91
"2026-08-17",88
"2026-08-18",90
"2026-08-19",88
"2026-08-20",92
"2026-08-21",90
"2026-08-22",87
"2026-08-23",91
"2026-08-24",91
"2026-08-25",88
"2026-08-26",99
"2026-08-27",91
