"Time","noodles"
"2026-07-26",86
"2026-07-27",88
"2026-07-28",93
"2026-07-29",86
"2026-07-30",92
"2026-07-31",100
"2026-08-01",97
"2026-08-02",95
"2026-08-03",92
"2026-08-04",95
"2026-08-05",87
"2026-08-06",92
"2026-08-07",89
"2026-08-08",99
"2026-08-09",92
"2026-08-10",90
"2026-08-11",89
"2026-08-12",81
"2026-08-13",86
"2026-08-14",81
"2026-08-15",92
"2026-08-16",95
"2026-08-17",90
"2026-08-18",91
"2026-08-19",90
"2026-08-20",87
"2026-08-21",87
"2026-08-22",97
"2026-08-23",99
"2026-08-24",90
"2026-08-25",89
"2026-08-26",92
"2026-08-27",87
