"Time","pasta sauce"
"2026-07-26",95
"2026-07-27",74
"2026-07-28",79
"2026-07-29",79
"2026-07-30",79
"2026-07-31",90
"2026-08-01",90
"2026-08-02",94
"2026-08-03",76
"2026-08-04",86
"2026-08-05",79
"2026-08-06",85
"2026-08-07",84
"2026-08-08",98
"2026-08-09",94
"2026-08-10",73
"2026-08-11",81
"2026-08-12",79
"2026-08-13",91
"2026-08-14",85
"2026-08-15",93
"2026-08-16",97
"2026-08-17",77
"2026-08-18",86
"2026-08-19",85
"2026-08-20",83
"2026-08-21",84
"2026-08-22",94
"2026-08-23",100
"2026-08-24",74
"2026-08-25",83
"2026-08-26",98
"2026-08-27",80
