"Time","pasta"
"2026-07-26",97
"2026-07-27",89
"2026-07-28",94
"2026-07-29",91
"2026-07-30",96
"2026-07-31",96
"2026-08-01",100
"2026-08-02",98
"2026-08-03",87
"2026-08-04",99
"2026-08-05",94
"2026-08-06",94
"2026-08-07",89
"2026-08-08",100
"2026-08-09",95
"2026-08-10",88
"2026-08-11",92
"2026-08-12",91
"2026-08-13",96
"2026-08-14",87
"2026-08-15",94
"2026-08-16",92
"2026-08-17",91
"2026-08-18",96
"2026-08-19",99
"2026-08-20",93
"2026-08-21",91
"2026-08-22",93
"2026-08-23",97
"2026-08-24",87
"2026-08-25",91
"2026-08-26",96
"2026-08-27",83
