"Time","pizza"
"2026-07-26",92
"2026-07-27",88
"2026-07-28",92
"2026-07-29",89
"2026-07-30",89
"2026-07-31",98
"2026-08-01",100
"2026-08-02",100
"2026-08-03",85
"2026-08-04",93
"2026-08-05",87
"2026-08-06",94
"2026-08-07",95
"2026-08-08",99
"2026-08-09",100
"2026-08-10",91
"2026-08-11",91
"2026-08-12",89
"2026-08-13",90
"2026-08-14",89
"2026-08-15",96
"2026-08-16",93
"2026-08-17",87
"2026-08-18",89
"2026-08-19",86
"2026-08-20",82
"2026-08-21",88
"2026-08-22",94
"2026-08-23",93
"2026-08-24",86
"2026-08-25",84
"2026-08-26",88
"2026-08-27",77
