"Time","potato"
"2026-07-26",90
"2026-07-27",88
"2026-07-28",95
"2026-07-29",92
"2026-07-30",90
"2026-07-31",99
"2026-08-01",92
"2026-08-02",92
"2026-08-03",93
"2026-08-04",91
"2026-08-05",89
"2026-08-06",91
"2026-08-07",90
"2026-08-08",92
"2026-08-09",91
"2026-08-10",88
"2026-08-11",88
"2026-08-12",85
"2026-08-13",89
"2026-08-14",87
"2026-08-15",91
"2026-08-16",93
"2026-08-17",89
"2026-08-18",91
"2026-08-19",92
"2026-08-20",88
"2026-08-21",83
"2026-08-22",93
"2026-08-23",93
"2026-08-24",91
"2026-08-25",92
"2026-08-26",100
"2026-08-27",88
