"Time","rice"
"2026-07-26",94
"2026-07-27",85
"2026-07-28",88
"2026-07-29",85
"2026-07-30",90
"2026-07-31",93
"2026-08-01",87
"2026-08-02",92
"2026-08-03",82
"2026-08-04",92
"2026-08-05",90
"2026-08-06",93
"2026-08-07",85
"2026-08-08",86
"2026-08-09",90
"2026-08-10",88
"2026-08-11",95
"2026-08-12",90
"2026-08-13",93
"2026-08-14",84
"2026-08-15",88
"2026-08-16",96
"2026-08-17",89
"2026-08-18",94
"2026-08-19",93
"2026-08-20",88
"2026-08-21",78
"2026-08-22",85
"2026-08-23",96
"2026-08-24",89
"2026-08-25",92
"2026-08-26",100
"2026-08-27",90
