"Time","roti making machine"
"2026-07-26",0
"2026-07-27",0
"2026-07-28",0
"2026-07-29",94
"2026-07-30",0
"2026-07-31",0
"2026-08-01",73
"2026-08-02",69
"2026-08-03",0
"2026-08-04",0
"2026-08-05",99
"2026-08-06",0
"2026-08-07",0
"2026-08-08",96
"2026-08-09",79
"2026-08-10",100
"2026-08-11",72
"2026-08-12",0
"2026-08-13",58
"2026-08-14",48
"2026-08-15",46
"2026-08-16",45
"2026-08-17",54
"2026-08-18",49
"2026-08-19",62
"2026-08-20",47
"2026-08-21",43
"2026-08-22",50
"2026-08-23",57
"2026-08-24",54
"2026-08-25",63
"2026-08-26",55
"2026-08-27",49
