"Time","salad"
"2026-07-26",85
"2026-07-27",100
"2026-07-28",90
"2026-07-29",95
"2026-07-30",96
"2026-07-31",94
"2026-08-01",90
"2026-08-02",86
"2026-08-03",85
"2026-08-04",85
"2026-08-05",88
"2026-08-06",89
"2026-08-07",87
"2026-08-08",87
"2026-08-09",82
"2026-08-10",80
"2026-08-11",81
"2026-08-12",85
"2026-08-13",97
"2026-08-14",85
"2026-08-15",85
"2026-08-16",88
"2026-08-17",90
"2026-08-18",96
"2026-08-19",99
"2026-08-20",90
"2026-08-21",88
"2026-08-22",87
"2026-08-23",88
"2026-08-24",92
"2026-08-25",87
"2026-08-26",90
"2026-08-27",82
