"Time","sandwich"
"2026-07-26",96
"2026-07-27",88
"2026-07-28",93
"2026-07-29",93
"2026-07-30",95
"2026-07-31",99
"2026-08-01",96
"2026-08-02",99
"2026-08-03",88
"2026-08-04",100
"2026-08-05",93
"2026-08-06",94
"2026-08-07",90
"2026-08-08",97
"2026-08-09",96
"2026-08-10",91
"2026-08-11",94
"2026-08-12",93
"2026-08-13",100
"2026-08-14",92
"2026-08-15",88
"2026-08-16",94
"2026-08-17",88
"2026-08-18",94
"2026-08-19",99
"2026-08-20",91
"2026-08-21",87
"2026-08-22",87
"2026-08-23",95
"2026-08-24",89
"2026-08-25",88
"2026-08-26",94
"2026-08-27",83
