"Time","snacks"
"2026-07-26",87
"2026-07-27",80
"2026-07-28",98
"2026-07-29",91
"2026-07-30",100
"2026-07-31",89
"2026-08-01",90
"2026-08-02",81
"2026-08-03",86
"2026-08-04",91
"2026-08-05",82
"2026-08-06",89
"2026-08-07",89
"2026-08-08",96
"2026-08-09",85
"2026-08-10",86
"2026-08-11",89
"2026-08-12",77
"2026-08-13",88
"2026-08-14",79
"2026-08-15",87
"2026-08-16",84
"2026-08-17",80
"2026-08-18",85
"2026-08-19",85
"2026-08-20",82
"2026-08-21",76
"2026-08-22",85
"2026-08-23",91
"2026-08-24",82
"2026-08-25",83
"2026-08-26",96
"2026-08-27",91
