"Time","soup"
"2026-07-26",94
"2026-07-27",87
"2026-07-28",96
"2026-07-29",95
"2026-07-30",94
"2026-07-31",93
"2026-08-01",96
"2026-08-02",98
"2026-08-03",93
"2026-08-04",92
"2026-08-05",99
"2026-08-06",95
"2026-08-07",90
"2026-08-08",95
"2026-08-09",96
"2026-08-10",93
"2026-08-11",92
"2026-08-12",92
"2026-08-13",98
"2026-08-14",87
"2026-08-15",90
"2026-08-16",95
"2026-08-17",92
"2026-08-18",99
"2026-08-19",99
"2026-08-20",91
"2026-08-21",87
"2026-08-22",92
"2026-08-23",96
"2026-08-24",97
"2026-08-25",96
"2026-08-26",100
"2026-08-27",96
