"Time","village food"
"2026-07-26",80
"2026-07-27",80
"2026-07-28",85
"2026-07-29",82
"2026-07-30",81
"2026-07-31",83
"2026-08-01",80
"2026-08-02",78
"2026-08-03",82
"2026-08-04",83
"2026-08-05",84
"2026-08-06",88
"2026-08-07",89
"2026-08-08",98
"2026-08-09",88
"2026-08-10",84
"2026-08-11",81
"2026-08-12",82
"2026-08-13",92
"2026-08-14",86
"2026-08-15",90
"2026-08-16",88
"2026-08-17",100
"2026-08-18",92
"2026-08-19",95
"2026-08-20",87
"2026-08-21",88
"2026-08-22",96
"2026-08-23",86
"2026-08-24",87
"2026-08-25",91
"2026-08-26",96
"2026-08-27",85
