video_id,title,published_at,description,channel_title,channel_id,category_id,view_count,like_count,comment_count
46ADyAK0xGI,sukhe aalu ki sabji#cooking#recipe#food#lifeisbutadream,2026-06-15T08:54:54Z,,Bajwa mini  vlog 🙏,UC6wd11jaDCyz8ANGuIqZD6g,22,270,5,0
ov3Brt8z_DA,இன்று காலை டிபன் லஞ்ச் ரெசிபி #food #youtubeshorts #cooking #recipe,2026-06-15T08:54:29Z,#recipe #cooking #youtubeshorts,Chitra's cooking,UCuBGJDTnbQ59nyPh2-pfTbw,22,292,3,0
AJz2xETbfyI,Ram Ram sa 💖 #dailyvlog #shortvideo #cooking #food #recipe,2026-06-15T08:50:44Z,,Nikita Soni,UCfoixpWH9bQRu82gjldrwQg,22,216,2,0
d1kpI4FlrUQ,Chicken Curry #food #viralvideo #recipe #greenomelette #cooking #shorts #ytshorts,2026-06-15T08:47:33Z,Chicken Curry #food #viralvideo #recipe #greenomelette #cooking #shorts #ytshorts,Jebina Home Kitchen ,UC7EsAISl9p9N8hZGNhi2aTQ,22,399,0,0
h9d9i2oL_yo,Day335:￼ Meen Kulambu #food #cooking #recipe #home #kitchen #school #lunch #fish #sweet #snacks #new,2026-06-15T08:43:25Z,"Day335
Double Ka Meetha 
Puttu Payaru Papadam
Meenkulambu 
#food #cooking #recipe #home #kitchen #school #lunch #fish #sweet #snacks #new #shorts #minivlog #yummy",Life Of House Wife ,UCaKsAGBLdURSN_JtSuGjo8Q,22,6661,559,11
q-UqTqaE9e8,पंडित जी ने सही कहा था #viral #comedy #food #cooking #recipe #shorts,2026-06-15T08:39:44Z,,Cooking classes with sweety,UCkPhqVVDgSsyjXp2ovLxRMw,22,344,4,0
q2J9RpD85dQ,Maan ke 5 haq #food #viral #cooking #recipe #trending #youtubeshorts,2026-06-15T08:41:09Z,,Tabish vlogs ,UC147IBmO69JSoYUIs1jG4YQ,22,255,1,0
zOIpaANv75o,#shaadi kura#trending #viralvideo#food #cooking🧑‍🍳#recipe#pleasesubscribe#🧑‍🍳,2026-06-15T08:38:05Z,#shaadi kura#trending #viralvideo#food #cooking🧑‍🍳#recipe#pleasesubscribe#🧑‍🍳 #trending #cooking #recipe #pleasesubscribe #food #,Jyoti_food_garage,UCynZXU_z0lDDMLKLwjBF7LQ,22,653,8,0
rrfkVddAClM,কাবলি ছোলার পকোড়া !!#rannaghorertips #cooking #recipe #foodie #trending,2026-06-15T08:35:13Z,কাবলি ছোলার পকোড়া !!#rannaghorertips #cooking #recipe #foodie #trending,Rajinar Ranna Ghor,UCzAm9mLToCv0tfVfU4xhD0w,22,278,2,0
9xUIbfSy54c,I learned this from a restaurant #cooking #recipe #food #snack #lifehacks,2026-06-15T08:35:42Z,,Teo Fatherhood,UCJqzANGrqn9dImti8WXNx_A,22,606,9,1
0rSF8IjPEXw,एक चॉप = पूरा नाश्ता ✅ 👌 #shorts#viral#food#recipe#bhojpuri #cooking,2026-06-15T08:33:39Z,"एक चॉप = पूरा नाश्ता ✅ 👌 #shorts#viral#food#recipe#bhojpuri #cooking 



bahubali chop, giant chop recipe, kolkata special chop, aloo chop recipe, bengali chop recipe, giant aloo chop, street food recipe, evening snacks recipe, tea time snacks, crispy chop recipe, potato chop, indian snacks, chatpata nashta, easy snack recipe, homemade chop, breakfast recipe, snacks recipe hindi, viral recipe, cooking shorts, food shorts, kolkata street food, bengali snacks, aloo snacks, giant snacks, rupali kitchen, recipe shorts, tasty snacks, quick snacks, #bahubalichop #kolkataspecial #aloochop #streetfood #teatimesnacks #viralrecipe #shorts #rupalikitchen",Rupali`s kitchen,UCkcfroFr0eZ6UD6MSsdEFGw,26,277,0,2
Kgwtso_tFpk,Spicy Red Chutney #youtubevideo #cooking #food #recipe #youtubeshorts,2026-06-15T08:30:27Z,"RED CHUTNEY - 
Ingredients: 
• Peanuts
• Sesame seeds 
• Garlic
• Dry Red chillies 🌶️ 
• Tomatoes 🍅 

Method: 
•Roast all the ingredients together 
•Then blend all ingredients with water into a smooth paste.
#youtubeshorts  #youtubevideo #recipe #spicy #youtubechannel #foodshorts #viralshorts #viral",Smin DB Vlogs,UCDLIphmWg5E8KQh8BZrZWow,22,594,10,0
2ppvq2CTEEM,Sunday #food #cooking #recipe #food  #foodie #music #love,2026-06-15T08:30:04Z,,Ramya vlog and  Samayal,UC2rigqu6EJvxjbZKpgRxciQ,24,443,7,0
jw2b7X5BIfY,Matar paneer #food #recipe #modernrasoi #cooking #shorts,2026-06-15T08:30:17Z,,Modern Rasoi,UC0W65WJfKdiDBPkxMzA4JuQ,26,368,3,0
l9yAv-aA68A,ఫిష్ కర్రీ రెసిపీ #trending #food #cooking #recipe #foodie #indianfoodmadeeasy,2026-06-15T08:30:30Z,,Tiny Talks Ammayi,UC-AgfJKYvnk6EFcL2UTRf7g,1,248,2,0
VHGdOAtk1lU,ଚିନାବାଦାମ ଦିଆ କୁଞ୍ଜୁରୀ ଭଜା 😍#peanut kundur fry#shorts#cooking #recipe,2026-06-15T08:25:06Z,Peanuts kundur fry 😍#ashortsaday #youtubeshorts #cooking #recipe,Odisha kitchen Diary ,UCDtPYPuPkPJd0sepEagCVgg,22,545,5,0
9BNurJBVGqg,Wai Wai Noodles|| Nepal Noodles🍜  #homecuisine #food #asmr #cooking #recipe #youtubeshort#nepalifood,2026-06-15T08:19:36Z,,His Personal Chef,UCc_Wf0tBnuQ7d5WzUazn-ow,22,241,3,0
