video_id,title,published_at,description,channel_title,channel_id,category_id,view_count,like_count,comment_count,view_velocity,engagement_ratio,title_keywords,description_keywords
kjcunD-n7EM,फूल मखाना चाट 😋 | हेल्दी नाश्ता #food #chaat #recipe #shorts #ytshorts #foodie #nasta #foodshorts,2026-06-08T14:54:22Z,#shorts #makhana #healthysnack #chaat #viralshorts,R_Uniq09,UCJ_bxyP9TiKzKjp3bPRkT0g,26,954,0,4,1602.4732631320765,0.0041928721174004,"[('nasta foodshorts', 0.5448)]","[('makhana healthysnack', 0.5839), ('chaat viralshorts', 0.5334), ('healthysnack chaat', 0.4962), ('makhana', 0.4467), ('healthysnack', 0.4178), ('viralshorts', 0.4046), ('chaat', 0.3225)]"
X23Quv3FCbI,Chicken Vegetable Macaroni Full Recipe 🍝#food #minivlog #youtubeshorts #shrots #Recipe #Macaroni,2026-06-08T14:54:27Z,Chicken Vegetable Macaroni Full Recipe 🍝#food #minivlog #youtubeshorts #shrots #Recipe #Macaroni,Hassan Siddiq,UCby7Kr3e6YMmtSdw4LQkIXg,22,338,44,5,569.0802311478184,0.1449704142011834,"[('vegetable macaroni', 0.7752)]","[('vegetable macaroni', 0.7752), ('macaroni', 0.6737), ('chicken vegetable', 0.5141), ('vegetable', 0.4184)]"
aX5H-EXHazQ,sirf 10 minut mein banae papra roti#trending#shorts#viral#recipe#Sarla Ki rasoi,2026-06-08T14:51:35Z,,Sarla ki rasoi,UCHmhT63hpjoVTPSauGspLfA,22,526,3,0,819.6738753821204,0.0057034220532319,"[('minut mein', 0.5072), ('mein banae', 0.5065), ('ki rasoi', 0.4926)]",[]
BNO02mNP3Hk,Mutton karahi recipe #mha #centralcee #eiduladha,2026-06-08T14:48:21Z,"Mutton karahi recipe✨❤️
#muttonkarahi #muttonkarahirecipe #treanding #eiduladha #muttonlovers #fypシ #fyp #recipe #muslim #dawat #dawatrecipes #dailyupdates #dailyfoodfeed",cookwithrukz,UCfOk5ptqX_ypzPO429QEhUg,22,557,0,0,800.7388955928342,0.0,"[('mutton karahi', 0.6842)]","[('muttonkarahi muttonkarahirecipe', 0.7141), ('muttonkarahirecipe', 0.6902), ('muttonkarahirecipe treanding', 0.6658), ('muttonkarahi', 0.6536), ('mutton karahi', 0.6415), ('mutton', 0.6102), ('muttonlovers fypシ', 0.5863), ('muttonlovers', 0.5356), ('eiduladha muttonlovers', 0.53)]"
hnfEgd3BihQ,Bharti Singh Viral Leftover Rice Pakoda Recipe😍#shorts #pakoda #viral #recipe,2026-06-08T14:45:15Z,Bharti Singh Viral Leftover Rice Pakoda Recipe😍#shorts #pakoda #viral #recipe,Mittal kitchen 🧑‍🍳,UCXC98pM11zm1R_GnF-sqd1Q,22,744,16,0,995.6184891117408,0.021505376344086,"[('rice pakoda', 0.661)]","[('rice pakoda', 0.661), ('pakoda', 0.5421), ('bharti singh', 0.5241), ('leftover rice', 0.5037), ('rice', 0.4601)]"
-h52lUaFNPE,Masaledar Mutton Chaap Fry #shorts #youtubeshorts #foryou #recipe #mutton,2026-06-08T14:42:14Z,"Aaj banai hai bahut hi tasty aur masaledar Mutton Chaap Fry! 😋🔥 Bahar se crispy aur andar se juicy, ye recipe har mutton lover ko zaroor pasand aayegi. Ghar par aasani se banne wali is dish ko roti, naan ya paratha ke saath enjoy karein. Video
.
.

#MuttonChaapFry #MuttonFry #MuttonRecipe #ChaapFry #DhabaStyle #SpicyMutton #NonVegRecipe #FoodLover #HomemadeFood #IndianFood #Foodie #Cooking #RecipeOfTheDay #FoodVlog #MuttonLovers #DeliciousFood #YummyFood #EasyRecipe #KolkataFood #FoodShorts 🍖🔥😋
.
@Behnokidilchaspduniya",Behno ki dilchasp duniya ,UC9vGIzaMDo-jU0gAYMxb6TQ,26,3494,0,1,4380.905748042157,0.0002862049227246,"[('masaledar mutton', 0.7024), ('mutton chaap', 0.6541)]","[('indianfood foodie', 0.5697), ('par aasani', 0.5435), ('har mutton', 0.5243), ('wali dish', 0.5206), ('banai hai', 0.5098), ('roti naan', 0.5056), ('muttonlovers deliciousfood', 0.5022), ('aayegi ghar', 0.4937), ('ko roti', 0.4919), ('indianfood', 0.4883)]"
f03dtWgylzg,Simple And Flavour Full Mango Lassi 🥭🥛#viral #food #cooking #recipe #mango #lassi #trending #song,2026-06-08T14:41:57Z,Simple And Flavour Full Mango Lassi 🥭🥛#viral #food #cooking #recipe #mango #lassi #trending #song,Shumaila Vlogs,UCAb_zSXHktLScu-dGiFl39g,22,623,15,4,776.5424935332894,0.0304975922953451,"[('mango lassi', 0.7187), ('flavour mango', 0.6781)]","[('mango lassi', 0.7187), ('flavour mango', 0.6781), ('mango', 0.6238), ('simple flavour', 0.524), ('flavour', 0.4628), ('lassi', 0.4379)]"
snnS7DVnj0Y,Desi khana 🤤😋 #viral #food #trending #recipe #marathifoodvlog #cooking #foodie,2026-06-08T14:40:35Z,,Rajwati ji,UCyYBvEI1JcHGeMLTGqBmo6g,22,960,0,1,1163.5630693490689,0.0010416666666666,"[('desi khana', 0.5811)]",[]
3IIc4A0hoC0,Herbs Rice & Peri Peri Sauce Bowl 🌿🔥#shortsfeed #shorts #recipe #easyrecipe #foodie #ricerecipe,2026-06-08T14:34:42Z,"Craving something spicy, herby, and absolutely delicious? 🌿🔥
This Herbs Rice with creamy Peri Peri Sauce is the perfect combination of fresh flavors and spicy goodness. Every bite is loaded with aromatic herbs, fluffy rice, and a sauce so good you'll want extra! 🤤🍚
Easy to make, budget-friendly, and perfect for lunch, dinner, or meal prep. Save this recipe and try it today!
❤️ Like📌 Save📤 Share with your foodie friends💬 Comment ""RICE"" if you want the full recipe!

herbs rice recipe
peri peri sauce recipe
peri peri rice
spicy rice recipe
rice bowl recipe
easy lunch recipe
quick dinner recipe
healthy rice recipe
restaurant style rice
viral rice recipe
homemade peri peri sauce
vegetarian rice recipe
one pot rice recipe
flavorful rice recipe
easy rice bowl
lunch box recipe
meal prep ideas
instant rice recipe
trending food recipe
youtube shorts recipe

#shorts #shortsfeed #youtubeshorts ##rice #recipe #ricerecipe #periperisauce #foodshorts #herbs #tredingshorts #trending #easyrecipe #quickrecipe #homemadefood #lunchrecipe #dinnerrecipe #vegrecipe #foodie #cookingshorts #cooking #viralrecipes #viralreels #yt #ytshorts #ytviral #streetfood #recipeoftheday #tastyfood #yummyfood",Cook with me..!!,UCwotliYl_U5we1LdkRgyKyA,22,617,18,0,668.3945092030215,0.0291734197730956,"[('rice peri', 0.6956), ('herbs rice', 0.6483), ('peri sauce', 0.6143)]","[('rice spicy', 0.6542), ('spicy rice', 0.6409), ('spicy herby', 0.6002), ('craving spicy', 0.5945), ('flavorful rice', 0.582), ('peri sauce', 0.5742), ('herbs rice', 0.5525), ('peri rice', 0.5431), ('flavors spicy', 0.5358)]"
pvWATfLRYHQ,Crispy potato balls recipe😋 #shorts #youtubeshorts #food #recipe #odia #viral,2026-06-08T14:31:19Z,Crispy potato balls recipe😋 #shorts #youtubeshorts #food #recipe #odia #viral,Pooja Food Vlog,UCZxsaP5SqI3IUjoFDOPpVOA,26,831,0,0,848.395144311634,0.0,"[('potato balls', 0.5957), ('crispy potato', 0.5674)]","[('potato balls', 0.5957), ('crispy potato', 0.5674), ('potato', 0.4965), ('odia', 0.4392)]"
